USERID,BNKACT_ID,NAME ,BANK,ACCOUNT_NUMBER,BALANCE ,CREATED_DATE ,MODIFIED_DATE ,IFSC_CODE
1,1,Bernadine Duckett,Indian,803445000,$835.20,2020/08/13,2021/09/18,AYUR1N234
2,2,Bethina Farnish,Canara,803445006,$55226.66,2020/10/05,2020/12/03,AYUR1N234
3,3,Angele Haycox,IOB,803445012,$88978.50,2021/05/20,2021/01/14,AYUR1N234
4,4,Grete Folker,Indian,803445018,$92239.26,2020/10/23,2021/02/02,AYUR1N234
5,5,Jeniece Nelsey,UCO,803445024,$12877.05,2021/04/17,2021/04/22,AYUR1N234
6,6,Griffin Revett,UCO,803445030,$5792.31,2020/08/25,2021/07/20,AYUR1N234
7,7,Madalyn Miall,PNB,803445036,$5630.57,2020/12/01,2021/04/13,AYUR1N234
8,8,Jammie La Croce,SBI,803445042,$84338.74,2021/05/06,2020/12/09,AYUR1N234
9,9,Tiebout Flexman,IOB,803445048,$41663.35,2021/02/01,2020/10/28,AYUR1N234
10,10,Kaitlyn Guppie,SBI,803445054,$71764.12,2021/02/17,2021/05/02,AYUR1N234
11,11,Marion Aspy,UCO,803445060,$62014.19,2021/09/28,2021/03/03,AYUR1N234
12,12,Myrtle Fermor,Indian,803445066,$83219.67,2021/09/25,2021/05/01,AYUR1N234
13,13,Gavra Pala,PNB,803445072,$59623.78,2021/04/18,2021/07/12,AYUR1N234
14,14,Saxe Denzilow,UCO,803445078,$16341.17,2020/12/22,2021/02/05,AYUR1N234
15,15,Tessy Deeprose,UCO,803445084,$37250.25,2021/03/31,2021/04/20,AYUR1N234
16,16,Leeland Lohde,SBI,803445090,$8124.13,2021/09/04,2021/02/25,AYUR1N234
17,17,Farr Rickarsey,UCO,803445096,$71254.57,2021/09/28,2020/11/22,AYUR1N234
18,18,Kennan Beine,Canara,803445102,$79809.05,2021/03/13,2020/10/06,AYUR1N234
19,19,Ad Gorthy,SBI,803445108,$14268.77,2020/08/30,2020/10/31,AYUR1N234
20,20,Benetta Maddick,UCO,803445114,$88356.75,2020/10/31,2020/10/06,AYUR1N234
21,21,Eba Bernardes,Canara,803445120,$76748.23,2021/07/21,2021/01/26,AYUR1N234
22,22,Minor Britzius,Indian,803445126,$70108.59,2021/04/14,2020/11/06,AYUR1N234
23,23,Maude Pietroni,Canara,803445132,$68491.83,2021/05/26,2020/12/18,AYUR1N234
24,24,Cash Ambrosch,SBI,803445138,$96366.68,2021/02/24,2020/12/09,AYUR1N234
25,25,Michelle Lideard,Canara,803445144,$71558.08,2021/08/29,2021/01/19,AYUR1N234
26,26,Shellysheldon Craft,UCO,803445150,$1674.88,2020/09/13,2021/06/13,AYUR1N234
27,27,Sonny Chander,Canara,803445156,$72638.77,2021/01/19,2020/10/12,AYUR1N234
28,28,Ignazio Bickers,PNB,803445162,$62115.63,2021/08/12,2021/03/27,AYUR1N234
29,29,Appolonia Fellman,IOB,803445168,$63482.28,2020/11/15,2020/10/13,AYUR1N234
30,30,Gerald Letts,Indian,803445174,$60328.98,2021/03/31,2021/09/28,AYUR1N234
31,31,Boris Kellick,SBI,803445180,$73439.06,2021/05/03,2021/06/08,AYUR1N234
32,32,Farrel Rippen,Indian,803445186,$13679.30,2021/03/01,2021/06/11,AYUR1N234
33,33,Othelia Kordova,PNB,803445192,$90894.12,2021/08/10,2021/06/18,AYUR1N234
34,34,Staffard Placide,UCO,803445198,$60535.64,2020/12/07,2021/04/16,AYUR1N234
35,35,Neilla Meekin,SBI,803445204,$76743.89,2021/08/19,2021/02/03,AYUR1N234
36,36,Roger Cockney,UCO,803445210,$52111.38,2021/08/08,2021/03/21,AYUR1N234
37,37,Kerstin Elnor,PNB,803445216,$15951.79,2020/09/18,2021/07/19,AYUR1N234
38,38,Winnah Pulfer,IOB,803445222,$63.63,2020/09/02,2021/01/13,AYUR1N234
39,39,Carline Munn,Canara,803445228,$24323.41,2021/01/01,2021/07/20,AYUR1N234
40,40,Evanne Boulter,UCO,803445234,$73016.76,2021/03/27,2021/01/22,AYUR1N234
41,41,Jean Coverley,SBI,803445240,$29375.58,2020/11/03,2021/05/10,AYUR1N234
42,42,Fionnula Mantle,UCO,803445246,$8346.96,2021/04/26,2021/04/09,AYUR1N234
43,43,Arley Gallon,IOB,803445252,$50245.81,2021/09/17,2021/05/08,AYUR1N234
44,44,Aura Bicksteth,Canara,803445258,$64020.19,2021/01/21,2021/07/09,AYUR1N234
45,45,Elfie Braunes,Canara,803445264,$66864.65,2020/11/08,2021/03/29,AYUR1N234
46,46,Viola Redwing,SBI,803445270,$71448.76,2021/03/05,2021/07/20,AYUR1N234
47,47,Malchy Baggott,UCO,803445276,$61232.63,2021/09/27,2021/04/12,AYUR1N234
48,48,Nanci Milne,SBI,803445282,$27254.15,2021/04/13,2020/10/22,AYUR1N234
49,49,Ailey Gatcliff,Indian,803445288,$18950.73,2020/09/26,2021/04/07,AYUR1N234
50,50,Forster Vanyakin,IOB,803445294,$37618.22,2021/05/30,2021/06/27,AYUR1N234
